Course_Code,Course_Title,2021_Points_R1,2021_Points_R2,2020_Points_R1,2020_Points_R2,2019_Points_R1,2019_Points_R2
DK877,Midwifery                                         ,482  ,477,440,,441.0,398*
DK880,Health and Physical Activity                      ,301  ,,328,,367.0,300
DK882,Agriculture (Award options)                       ,342  ,,310,,358.0,303
DK883,Science (Award options),373  ,368,358,321,369.0,300
DK884,Sustainable Agriculture                           ,348  ,,,,,
DK886,Biopharmaceutical Science                         ,379  ,,301,,,
DK887,Environmental Science                             ,377  ,,330,,,
DL821,"English, Media and Cultural Studies",,,212,212,317.0,211
DL822,Arts Management,254  ,,229,229,319.0,209
DL823,Business Management                               ,220  ,,235,,316.0,260
DL825,Applied Psychology                                ,418  ,413,379,,413.0,349
DL826,Graphic Design                                    ,#591 ,,855,,989.0,#736
DL827,Art,#574 ,,572,,902.0,#583
DL828,"3D Design, Modelmaking and Digital Art",,,506,,866.0,#691
DL829,Design for Stage and Screen (Costume Design),,,593,,1021.0,#817
DL830,Design for Stage and Screen (Character Makeup Design),,,939,,953.0,#879
DL831,Design for Stage and Screen (Production Design),,,781,,1073.0,#893
DL832,Animation,#989 ,,920,,1055.0,#855
DL833,Photography,#671 ,#671,650,,791.0,#636
DL834,Film and Television Production,,,990,,1011.0,#933
DL835,Creative Media Technologies,,,,,289.0,237
DL836,Creative Computing                                ,235  ,,219,,326.0,217
DL837,New Media Studies                                 ,298  ,293,201,,349.0,290
DL838,Creative Music Production,#713 ,,754,,873.0,#746
DL839,Interaction and User Experience Design            ,#757 ,,683,683,,
DL840,Digital Marketing                                 ,210  ,,228,228,,
DL841,English and Equality Studies                      ,277  ,277,276,,,
DL843,Film                                              ,#987 ,#874,,,,
DL844,Television                                        ,#566 ,,,,,
DL845,Design for Film (degree options)                  ,#628 ,,,,,
DN100,Architecture,555  ,,510,,509.0,473
DN120,Landscape Architecture,463  ,435,407,,403.0,353
DN130,City Planning and Environmental Policy            ,445  ,424,407,400,421.0,367
DN150,Engineering (Common Entry)                        ,565* ,,531,521,554.0,511
DN200,Science (options)                                 ,577  ,567,533,,554.0,521
DN201,Computer Science (Common Entry),554  ,549,510,,509.0,488
DN230,Actuarial and Financial Studies                   ,613* ,613*,601,,589.0,577
DN240,Sustainability                                    ,510  ,,440,,,
DN250,Agricultural Science (options)                    ,454  ,444,456,455,462.0,420
DN252,Dairy Business,,,410,,428.0,398
DN253,Agri - Environmental Sciences,,,418,,419.0,403
DN261,Food Science,531  ,,477,,467.0,434
DN262,Human Nutrition                                   ,566  ,,531,,510.0,493
DN271,Forestry,,,311,,361.0,303
DN272,"Horticulture, Landscape and Sportsturf Management",,,297,282,312.0,252
DN300,Veterinary Medicine - Undergraduate Entry,#601*,,589,,589.0,#567
DN310,Veterinary Nursing                                ,521  ,509,478,477,487.0,441
DN400,Medicine - Undergraduate Entry (HPAT required),#743*,,737,736,745.0,#735
DN401,Medicine - Graduate Entry (GAMSAT required),#61* ,,,,61.0,#59*
DN410,Radiography,566* ,566*,534,532,522.0,507
DN420,Physiotherapy                                     ,601* ,601*,578,577,555.0,542
DN425,Health and Performance Science                    ,544  ,543,510,509,509.0,488
DN430,Sport and Exercise Management,484  ,476,455,445,455.0,436
DN440,Biomedical  Health and Life Sciences              ,613* ,613*,590,589,579.0,565*
DN450,General Nursing                                   ,462* ,,429,424,420.0,398
DN451,Children`s and General Nursing (Integrated)       ,533  ,,509,506,499.0,462*
DN452,Midwifery,510  ,509*,489,476,452.0,409
DN453,Mental Health Nursing                             ,442  ,,397,393,403.0,379
DN520,Joint Honours (options)                           ,381  ,378,310,,408.0,336
DN530,Humanities (options),397  ,388,340,336,411.0,348
DN541,Modern Languages (options)                        ,320  ,,303,,412.0,348
DN600,Law (options)                                     ,576  ,567*,546,544,532.0,520*
DN610,Business and Law,573  ,567,545,,543.0,521
DN650,Commerce,555  ,,521,521,510.0,498*
DN660,Commerce International (options),555  ,554*,517,511,531.0,507
DN670,Economics and Finance,625* ,625,613,,601.0,601
DN700,Social Sciences (options)                         ,475  ,474,421,419,441.0,388
DN710,Economics                                         ,534  ,532*,498,498,488.0,476
DN720,Psychology                                        ,566  ,564,530,522,531.0,517
DN750,Social Policy and Sociology,421  ,,378,,366.0,330
DT001,Product Design,,,,,464.0,433
DT028,Transport Operations and Technology,,,,,348.0,279
DT035,Electrical Services and Energy Management,,,,,340.0,293
DT066,Engineering (General Entry),,,,,457.0,400
DT101,Architecture (test and interview),,,,,647.0,#618
DT106,Planning and Environmental Management,,,,,337.0,312
DT110,Property Economics (Valuation Surveying),,,,,424.0,367
DT111,Quantity Surveying and Construction Economics,,,,,421.0,391
DT112,Geographic Science,,,,,335.0,287
DT117,Construction Management,,,,,373.0,356
DT175,Architectural Technology,,,,,425.0,388
DT201,Science (General Entry),,,,,477.0,464
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),,,,,403.0,341
DT204,Biomedical Science,,,,,512.0,501
DT205,Mathematical Sciences,,,,,363.0,315
DT206,Biomedical and Molecular Diagnostics,,,,,487.0,473
DT211,Computer Science (Infrastructure),,,,,414.0,381
DT220,Industrial Mathematics,,,,,317.0,300
DT221,Physics with Energy and Environment,,,,,436.0,348
DT222,Physics Technology,,,,,371.0,321
DT223,Human Nutrition and Dietetics,,,,,566.0,553
DT224,Optometry,,,,,529.0,487
DT225,Public Health Nutrition,,,,,476.0,440
DT227,Science with Nanotechnology,,,,,361.0,312
DT228,Computer Science,,,,,466.0,451
DT229,Clinical Measurement Science,,,,,509.0,491
DT235,Physics with Medical Physics and Bioengineering,,,,,403.0,357
DT282,Computer Science (International),,,,,402.0,377
DT299,Chemical Sciences with Medicinal Chemistry,,,,,445.0,420
DT302,Business Analytics,,,,,403.0,325
DT304,E-Commerce in Retailing,,,,,388.0,341
DT321,Business and Law,,,,,478.0,462
DT341,Marketing,,,,,419.0,400
DT343,Retail and Services Management,,,,,332.0,301
DT354,Business Computing,,,,,341.0,322
DT358,Logistics and Supply Chain Management,,,,,359.0,300
DT365,Business and Management,,,,,456.0,440
DT366,Accounting and Finance,,,,,454.0,432
DT398,Human Resource Management,,,,,388.0,375
DT399,Economics and Finance,,,,,465.0,437
DT401,International Hospitality Management,,,,,337.0,300
DT405,Culinary Science,,,,,377.0,308
DT407,Culinary Arts,,,,,342.0,271
DT412,Tourism Marketing,,,,,322.0,284
DT413,Event Management,,,,,389.0,356
DT416,Culinary Entrepreneurship,,,,,339.0,275
DT420,Nutraceuticals in Health and Nutrition,,,,,432.0,392
DT421,Food Innovation,,,,,366.0,321
DT422,Pharmaceutical Healthcare,,,,,423.0,397
DT491,Environmental Health,,,,,380.0,343
DT501,Music,,,,,520.0,#383
DT504,Film and Broadcasting,,,,,467.0,443
DT506,Commercial Modern Music,,,,,835.0,#468
DT508,Game Design,,,,,454.0,403
DT517,Languages and English Studies,,,,,419.0,326
DT518,Languages and International Tourism,,,,,357.0,307
DT529,Drama (Performance),,,,,519.0,#371
DT532,Law (LL.B.),,,,,441.0,422
DT544,Interior Design,,,,,866.0,#552
DT545,Design - Visual Communication,,,,,897.0,#667
DT546,Fine Art,,,,,813.0,#668
DT555,International Business and Languages,,,,,399.0,353
DT559,Photography,,,,,926.0,#700
DT571,Social Care,,,,,424.0,394
DT572,Early Childhood Education,,,,,403.0,385
DT582,Journalism,,,,,373.0,347
DT596,Print Media Technology and Management,,,,,311.0,252
DT597,Creative and Cultural Industries,,,,,369.0,280
GA160,Business,,,163,163,,
GA174,Marketing and Sales,,,281,,,
GA175,Finance,,,278,,,
GA181,Accounting                                        ,303  ,,309,,378.0,303
GA182,Business                                          ,285  ,,287,,347.0,290
GA183,Business Information Systems                      ,298  ,,296,,373.0,309
GA184,Marketing and Sales,300  ,,307,,348.0,307
GA185,Finance and Economics                             ,318  ,,293,,398.0,307
GA186,Business with Entrepreneurship                    ,287  ,,280,,328.0,297
GA187,Rural Enterprise and Agri-Business                ,291  ,,281,,367.0,280
GA272,Heritage Studies,,,188,188,,
GA273,Contemporary Art,,,702,,,
GA281,Film and Documentary                              ,310  ,301,304,,360.0,287
GA282,Heritage Studies                                  ,252  ,,220,,308.0,238
GA283,Contemporary Art (portfolio)                      ,#790 ,,679,,340.0,260
GA284,Design                                            ,331  ,,303,,377.0,309
GA285,"Education (Art, Design and Graphics)",406  ,,,,,
GA360,Business in Tourism,,,172,172,,
GA361,Culinary Arts,,,193,,,
GA362,Hotel and Hospitality Operations,,,240,228,,
GA364,Heritage Studies,,,252,252,,
GA370,Hotel and Catering Management,,,198,,,
GA376,Event Management with Public Relations,,,206,187,,
GA377,International Tourism Management,,,172,,,
GA380,International Hotel Management                    ,218  ,,242,,289.0,225
GA381,International Tourism Management,252  ,,278,,290.0,261
GA382,Culinary and Gastronomic Science                  ,235  ,,206,,316.0,225
GA384,Event Management with Public Relations            ,230  ,,212,,289.0,209
GA385,Retail Management,,,,,319.0,219
GA470,Construction Management,,,244,243,,
GA472,Architectural Technology,,,226,,,
GA480,Construction Management                           ,302  ,,260,,312.0,260
GA482,Quantity Surveying and Construction Economics     ,304  ,,288,,340.0,280
GA483,Architectural Technology                          ,281  ,273,265,,321.0,251
GA484,Civil Engineering                                 ,377  ,,290,,362.0,270
GA580,Software and Electronic Engineering               ,300  ,,300,,351.0,301
GA670,Mechanical Engineering,,,265,,,
GA680,Mechanical Engineering                            ,400  ,,330,,389.0,336
GA681,Energy Engineering,312  ,,293,,328.0,281
GA682,Biomedical Engineering                            ,331  ,,313,,383.0,331
GA683,Agricultural Engineering                          ,304  ,,309,,365.0,301
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413  ,,340,,406.0,346
GA685,Manufacturing Engineering Design,336  ,,309,,,
GA773,Physics and Instrumentation,,,299,,,
GA774,Science (Undenominated),,,289,,,
GA780,Applied Freshwater and Marine Biology,366  ,,327,,360.0,300
GA781,Applied Biology and Biopharmaceutical Science,381  ,,337,,376.0,317
GA782,Chemical and Pharmaceutical Science               ,356  ,,336,,346.0,307
GA783,Physics and Instrumentation                       ,301  ,,363,,378.0,373
GA784,Science (Undenominated)                           ,445  ,,372,,377.0,327
GA785,Medical Science,517  ,510,473,,486.0,451
GA786,Forensic Science and Analysis                     ,408  ,,317,,366.0,300
GA787,Computing in Software Development                 ,310  ,,270,,327.0,275
GA788,Computing and Digital Media                       ,270  ,,274,,327.0,270
GA789,Agriculture and Environmental Management,340  ,,287,,339.0,297
GA790,Sport and Exercise Science                        ,376  ,366,356,,379.0,350
GA791,Public Health Nutrition                           ,368  ,,368,,397.0,364
GA862,History & Geography,,,178,,,
GA864,Early Childhood Education and Care,,,214,204,,
GA870,Outdoor Education and Leisure,,,182,171,,
GA872,Culture and Environment,,,196,,,
GA880,General Nursing                                   ,440* ,,429,422,400.0,389*
GA882,Psychiatric Nursing                               ,369  ,,367,,370.0,346
GA885,Outdoor Education                                 ,269  ,,252,,298.0,210
GA887,History and Geography,201  ,,244,,296.0,228
GA889,Applied Social Care - Mayo Campus,265  ,,266,,297.0,260
GA890,Early Childhood Education and Care                ,281  ,227,270,,319.0,278
GA891,Geography and Outdoor Education                   ,261  ,,244,,,
GA980,Education (Design Graphics and Construction)      ,410  ,,377,,389.0,376
GA981,Furniture Design and Manufacture - Letterfrack Campus,346  ,,,,350.0,271
GA982,Furniture Making and Architectural Woodworking    ,360  ,,,,352.0,270
GA984,Furniture Design  Making and Technology - Common E,486  ,467,284,,,
GC200,Business                                          ,269  ,242,252,252,359.0,269
GC201,Accounting and Finance,260  ,226,303,303,388.0,251
GC230,Computing Science                                 ,300  ,289,335,325,327.0,228
GC300,Business                                          ,264  ,264,429,,302.0,251
GC301,Accounting and Finance                               ,,251,253,253,314.0,307
GC302,Business Studies - HRM,377  ,377,,,269.0,269
GC305,International Hospitality Management,,,253,253,327.0,327
GC306,International Hospitality Management,,,253,253,,
GC307,Business (Marketing)                              ,289  ,270,,,,
GC335,Computing,,,217,195,,
GC400,Business                                          ,250  ,228,248,248,297.0,246
GC401,Accounting and Finance,242  ,242,240,227,309.0,181
GC402,"Business Studies (HRM, Dublin)",,,264,236,290.0,217
GC403,Law                                               ,245  ,242,244,228,308.0,225
GC405,International Hospitality Management (Dublin),,,,,272.0,254
GC407,Business (Marketing)                              ,264  ,264,280,280,330.0,246
GC410,Marketing,,,145,,,
GC411,Business,,,135,135,,
GC430,Computing Science (Dublin),251  ,251,252,220,269.0,217
GC450,Communications and Media Production               ,225  ,225,254,254,307.0,227
GC462,Design Communication (portfolio)                  ,#300 ,,,,,
GC470,Photographic Media,,,169,169,,
GC475,Photography,,,150,150,,
GC489,Interior Architecture (portfolio)                 ,#288 ,#274,254,,361.0,#267
GC490,Interior Design,,,117,117,,
GC494,Fashion Design (portfolio)                        ,#351 ,,337,217,,#
GC495,Fashion,,,129,129,,
GY101,Arts (Joint-Honours)                              ,327  ,326,300,,374.0,300
GY104,Arts (Psychology),564  ,555,523,520,529.0,507
GY105,Arts (History)                                    ,357  ,,301,,358.0,318
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),,,409,,397.0,330
GY109,Arts (Mathematics and Education)                  ,413  ,,403,,487.0,411
GY110,Arts with Children's Studies,387  ,,357,,409.0,382
GY111,Arts (English and Creative Writing)               ,421  ,420,330,,472.0,402
GY112,Arts with Film Studies,,,321,,370.0,338
GY113,Arts with Human Rights                            ,413  ,,368,,409.0,338
GY115,Arts with Performing Arts Studies,300  ,,387,,367.0,328
GY118,Arts (Drama  Theatre and Performance Studies)     ,453  ,430,451,,451.0,410
GY119,Arts (Journalism)                                 ,484  ,473,400,,475.0,410
GY120,"Arts (Child, Youth and Family: Policy and Practice)",,,350,,346.0,309
GY121,Arts (Children's Studies),,,356,,389.0,356
GY122,Na Dána (Cumarsáid agus Gaeilge) ,410  ,,361,,399.0,308
GY123,Applied Social Sciences                           ,419  ,,358,,388.0,357
GY124,Arts (Arts with Data Science),,,454,,466.0,434
GY125,Arts (Digital Arts and Technology)                ,403  ,,328,,379.0,324
GY126,Arts (English and Media Studies),,,391,,451.0,418
GY127,Arts (Film and Digital Media),430  ,421,401,,435.0,387
GY128,Arts (Global Languages)                           ,346  ,,352,,440.0,370
GY129,Arts (Global Experience)                          ,465  ,,420,,477.0,408
GY130,Arts (Music),462  ,,408,,444.0,400
GY131,Arts (History and Globalisation Studies),,,360,,431.0,340
GY132,"Government (Politics, Economics and Law)",465  ,451,407,,444.0,402
GY133,Education (Computer Science and Mathematical Studies),454  ,,422,,466.0,401
GY134,Geography and Geosystems                          ,425  ,,410,,,
GY135,Arts (Global Media)                               ,442  ,,,,,
GY136,Na D�na (L�ann Teanga - options)                  ,526  ,,,,,
GY201,Commerce                                          ,476  ,,433,,453.0,420
GY202,Commerce (International) with French              ,520  ,,484,,513.0,484
GY203,Commerce (International) with German              ,518  ,,489,,541.0,489
GY204,Commerce (International) with Spanish,506  ,,495,,500.0,484
GY206,Business Information Systems (Work Placement and O,509  ,,465,,445.0,431
GY207,Commerce (Accounting) including optional Global Ex,543  ,,509,,510.0,486
GY208,Commerce (Gaeilge)                                ,508  ,,473,,488.0,473
GY209,Commerce (Global Experience),551  ,,530,,531.0,509
GY250,Law & Business,510  ,,487,,467.0,436
GY251,Law (BCL)                                         ,542  ,,499,,498.0,473
GY252,Law (BCL) and Human Rights                        ,565  ,,520,,521.0,510
GY253,Law and Taxation                                  ,506  ,,509,,,
GY254,"Law (BCL), Criminology and Criminal Justice",548  ,,530,,,
GY261,"Business Studies (International Hotel Management, Shannon)",#503 ,,497,,615.0,#486
GY262,Commerce in International Hotel Management (interv,#709 ,,681,,726.0,#671
GY301,Science,489  ,488,433,432,456.0,400
GY303,Biomedical Science,613  ,,556,,566.0,533
GY304,Biotechnology,498  ,495,465,,507.0,473
GY308,Environmental Science                             ,431  ,430,408,,440.0,413
GY309,Financial Mathematics and Economics               ,509  ,,487,,498.0,454
GY310,Marine Science                                    ,467  ,,419,,456.0,409
GY313,Environmental Health and Safety,412  ,,412,,435.0,402
GY314,Earth and Ocean Sciences                          ,422  ,,403,,425.0,402
GY318,Biopharmaceutical Chemistry                       ,555  ,,509,,532.0,510
GY319,Mathematical Science                              ,543  ,,476,,531.0,456
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",465  ,,402,,487.0,401
GY321,Genetics and Genomics                             ,532  ,,508,,,
GY322,Agricultural Sciences                             ,485  ,,,,,
GY350,Computer Science and Information Technology       ,495  ,,403,,466.0,425
GY401,Engineering (Undenominated)                       ,522  ,520,465,,499.0,444
GY402,Civil Engineering,533  ,521,455,,543.0,509
GY405,Mechanical Engineering                            ,541  ,,454,,499.0,443
GY406,Electronic and Computer Engineering               ,555  ,,510,,547.0,509
GY408,Biomedical Engineering                            ,554  ,,509,,543.0,519
GY410,Project and Construction Management,431  ,,403,,464.0,434
GY413,Energy Systems Engineering,509  ,,502,,589.0,532
GY414,Electrical and Electronic Engineering             ,433  ,,405,,487.0,454
GY501,Medicine (five year/six year course  HPAT required,#737*,#737*,728,,731.0,#726*
GY502,Occupational Therapy                              ,601  ,,555,,543.0,532
GY503,Speech and Language Therapy,578  ,,543,,543.0,529
GY504,Podiatric Medicine                                ,531  ,526,443,,463.0,434
GY515,General Nursing (Galway and Portiuncula)          ,502  ,496,476,473,466.0,442
GY516,Mental Health Nursing                             ,475  ,441,440,,413.0,388
GY517,Midwifery,520  ,509,495,,468.0,429
ID001,Accounting and Finance,,,203,,291.0,229
ID002,Business Studies                                     ,,,294,,366.0,285
LC110,Art and Design (Common Entry  portfolio)          ,#794 ,,740,,918.0,#734
LC114,Fashion and Textiles for Product and Costume (portfolio),#914 ,,880,,988.0,#900
LC115,Art and Design Teacher Education (portfolio),#993 ,,942,,,
LC220,Digital Marketing                                 ,263  ,,262,,288.0,254
LC222,Marketing and Management,,,270,,,
LC223,Law and Taxation,331  ,,307,,372.0,308
LC224,Accounting and Finance,300  ,,300,,382.0,299
LC225,Marketing and Management,298  ,,298,,337.0,298
LC226,Enterprise and Innovation                         ,255  ,,234,234,298.0,216
LC233,Software Development                              ,280  ,,272,,371.0,300
LC234,Interactive Digital Media,226  ,,225,,288.0,219
LC236,Internet Systems Development                      ,260  ,,262,260,319.0,298
LC239,Computer Networks and Systems Management          ,317  ,,307,,347.0,335
LC241,Construction Management,326  ,,255,,303.0,276
LC242,Property Valuation and Management,308  ,,282,,328.0,292
LC243,Quantity Surveying                                ,278  ,,294,,360.0,281
LC248,Built Environment (Common Entry)                  ,300  ,,288,,350.0,307
LC251,Civil Engineering,,,206,,,
LC252,Civil Engineering Management                      ,264  ,,270,,331.0,281
LC257,Interior Design,,,264,,,
LC260,Applied Biology,,,326,,,
LC263,Medical Technology                                ,391  ,,294,,359.0,282
LC265,Forensic and Pharmaceutical Sciences              ,498  ,,413,,368.0,335
LC266,Drug and Medicinal Product Analysis               ,252  ,,262,,299.0,236
LC267,Forensic and Pharmaceutical Sciences,,,329,,,
LC275,Electrical Engineering,361  ,347,298,,340.0,288
LC276,Creative Broadcast and Film Production,,,297,,,
LC277,Industrial Automation and Robotic Systems,,,232,,,
LC285,Mechanical Engineering,,,272,,,
LC288,Mechanical Engineering,378  ,369,347,346,360.0,307
LC289,Precision Engineering                             ,261  ,,291,,369.0,280
LC292,Social Care Work                                  ,374  ,,367,,389.0,360
LC293,Business Studies with Travel and Tourism Managemen,271  ,264,307,,326.0,299
LC294,Business Studies with Event Management,279  ,,279,,300.0,271
LC295,Business Studies with Sports Management           ,262  ,,252,,298.0,263
LC297,Community and Addiction Studies                   ,272  ,262,235,,269.0,217
LC320,Business                                          ,381  ,,346,,378.0,337
LC330,Business with Computing,328  ,308,297,,326.0,298
LC340,Interior Design                                   ,391  ,368,350,,349.0,298
LC362,Biotechnology and Biopharmaceutical Sciences      ,429  ,,413,,402.0,379
LC371,Creative Broadcast and Film Production            ,325  ,310,309,,339.0,298
LC372,Music Technology and Production,377  ,,325,,369.0,321
LC374,Renewable and Electrical Energy Engineering,337  ,319,318,,368.0,317
LC375,Industrial Automation and Robotic Systems         ,309  ,,317,,368.0,321
LC376,Electronic Engineering with Computer Systems      ,357  ,,318,,346.0,308
LC380,Automotive Engineering and Transport Management   ,298  ,,303,298,329.0,282
LC392,Beauty and Spa Management,328  ,317,236,,318.0,217
LC393,Early Childhood Education and Care                ,309  ,276,236,,309.0,260
LC399,Hospitality Supervision,,,148,,,
LC401,Early Childhood Education and Care,,,297,,387.0,298
LC402,Social Care Work                                  ,228  ,,225,,290.0,209
LC408,Environmental Science and Climate,279  ,,279,,346.0,262
LC411,Marketing and Management (Thurles),,,,,300.0,226
LC414,Data Analytics and Cyber Security,,,236,,,
LC415,Business,,,197,,,
LC416,Business                                          ,260  ,,274,,,
LC418,Computing - Games Design and Development          ,260  ,256,270,,318.0,271
LC422,Applied Strength and Conditioning                 ,289  ,,298,,333.0,288
LC423,Sports Strength and Conditioning,,,157,,,
LC432,Early Childhood Education and Care,,,144,,,
LC434,Environmental Science and Agriculture,,,297,,347.0,278
LC502,Game Art and Design (portfolio)                   ,#841 ,,852,,950.0,#838
LC504,Creative Media and Design,,,192,,,
LC517,Creative Media and Design                         ,279  ,,234,,273.0,229
LC518,"Digital Animation Production (Clonmel, portfolio)",#807 ,,808,,962.0,#816
LC603,Early Childhood Education and Care,,,147,,,
LC612,Social Care Work                                  ,309  ,,320,,338.0,319
LC613,Early Childhood Education and Care,,,242,,388.0,346
LM002,Arts                                              ,360* ,360,348,,388.0,329
LM019,Social Sciences                                   ,451  ,,,,,
LM020,Law and Accounting,474  ,,465,,476.0,436
LM026,Performing Arts (audition format TBC)             ,#329 ,,303,,367.0,#307
LM028,Criminal Justice                                  ,420  ,,418,,409.0,387
LM029,Law Plus,530  ,,490,,499.0,473
LM038,Psychology and Sociology,530  ,,500,,489.0,478
LM039,Journalism and Digital Communication              ,432  ,,402,,430.0,388
LM040,European Studies                                  ,409  ,,369,,462.0,350
LM044,Applied Languages                                 ,429  ,,442,,473.0,404
LM050,Business Studies (options),451  ,,431,,455.0,419
LM056,International Business                            ,555* ,,528,,543.0,511
LM058,Financial Mathematics                             ,468  ,,403,,543.0,434
LM063,Technology Management                             ,410  ,,379,,409.0,372
LM066,Environmental Science                             ,430  ,,,,,
LM068,Food Science and Health,464* ,,421,,430.0,400
LM076,Product Design and Technology (portfolio required),#401 ,,408,,466.0,#402
LM077,Aeronautical Engineering                          ,567  ,,520,,531.0,469
LM082,Construction Management and Engineering           ,446* ,,398,,404.0,368
LM089,Sport and Exercise Sciences,498* ,,474,,466.0,441
LM090,Physical Education with concurrent Teacher Educati,552  ,544*,532,,520.0,498*
LM091,Languages with concurrent Teacher Education       ,506  ,,517,,,
LM092,Science with Teacher Ed (Biology with Physics/Chem,521  ,,507,,509.0,478
LM093,Equine Science,367  ,,339,,381.0,338
LM094,Materials and Architectural Technology with concurrent Teacher Education,475  ,,440,,433.0,405
LM095,Materials and Engineering Technology with concurre,425  ,,367,,409.0,358
LM096,Science with Teacher Ed (Physical Sciences with Ch,454  ,,405,,422.0,382
LM097,Mathematics and Computer Science with concurrent T,465  ,,402,,,
LM099,Architecture (portfolio required),520  ,,498,,473.0,#419
LM100,Physiotherapy                                     ,613* ,,589,,577.0,565*
LM101,Medicine  - Graduate Entry (GAMSAT required)      ,#57* ,,55,,57.0,#55*
LM102,Psychology                                        ,534  ,,509,,519.0,495
LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),#429 ,,392,,403.0,#313
LM105,Exercise and Health Fitness Management            ,441  ,,,,,
LM115,Chemical and Biochemical Engineering,476  ,,454,,520.0,456
LM116,Engineering (Biomedical/Civil/Design and Manufactu,498* ,,476,,498.0,434
LM118,Electronic and Computer Engineering               ,445  ,,403,,498.0,401
LM121,Computer Science (Computer Systems/Games Dev/Cyber,402  ,,351,,420.0,352
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),382  ,,327,,430.0,330
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind ,498* ,,441,,455.0,412
LM124,Mathematics (Math Science/Maths and Physics/Econom,455  ,,437,,521.0,427
LM125,Physics (Applied Physics or Mathematics and Physic,489  ,,404,,509.0,405
LM150,General Nursing,498* ,487,475,,463.0,440*
LM152,Mental Health Nursing                             ,478  ,466,419,,418.0,388
LM154,Intellectual Disability Nursing                   ,462  ,443,420,,408.0,381*
LM156,Midwifery                                         ,521* ,508,469,,444.0,429
LM180,Equine Science,,,337,,,
LY107,Business - Common Entry,,,161,161,,
LY108,Business - Accounting,312  ,,309,,399.0,318
LY118,Business                                          ,288  ,,290,,352.0,287
LY128,Marketing with Online Technologies                ,261  ,261,,,,
LY206,Sports Studies,,,149,148,,
LY207,Law with Criminal Justice,,,160,160,,
LY208,Law,300  ,290,300,,359.0,300
LY218,Business - with Spanish/Irish options,,,,,367.0,298
LY228,Sports and Exercise - Common Entry,290  ,,300,,330.0,278
LY317,Culinary Arts,,,229,224,,
LY327,Hospitality And Tourism - Common Entry,,,170,170,,
LY408,Design - Common Entry                             ,#301 ,,320,,368.0,#307
LY427,Digital Film and Video,,,172,170,,
LY437,Animation,,,198,223,,
LY447,Fashion with Promotion,,,266,279,,
LY457,Graphic and Digital Design,,,179,204,,
LY507,Quantity Surveying,,,181,181,,
LY508,Fire Safety Engineering,283  ,,276,,299.0,270
LY518,Quantity Surveying                                ,304  ,,301,,368.0,307
LY527,Civil Engineering,,,165,163,,
LY528,Construction Management                           ,262  ,,271,,291.0,267
LY538,Architectural Technology                          ,234  ,234,,,,
LY607,Electronic Engineering,,,160,,,
LY608,Mechanical Engineering                            ,300  ,,300,,333.0,304
LY617,Mechanical Engineering,,,180,180,,
LY618,Electronic Engineering                            ,321  ,,312,,339.0,307
LY708,Applied Computing                                 ,320  ,,306,,348.0,300
LY717,Computing,,,164,160,,
LY748,Computer Science                                  ,316  ,,317,317,,
LY816,Dental Nursing,,,233,223,,
LY818,Science - Common Entry                            ,302  ,,303,,371.0,302
LY826,Health Science with Physiotherapy Studies,,,456,401,,
LY828,Agriculture - Common Entry                        ,308  ,300,307,,342.0,300
